reg_id,url,name,reg_role,reg_type,reg_status,reg_status_date,client,organization,lobbying_firm
445946,/lra/reporting/public/registrar/view.do?method=get&registrationId=445946,"Varsanyi , Laszlo",In House Lobbyist,Organization,Active,"August  04, 2021",,Enbridge Inc.,
339099,/lra/reporting/public/registrar/view.do?method=get&registrationId=339099,"Varsanyi , Laszlo",In House Lobbyist,Organization,Terminated,"July   07, 2020",,Enbridge Inc.,
375831,/lra/reporting/public/registrar/view.do?method=get&registrationId=375831,"Varsanyi , Laszlo",In House Lobbyist,Organization,Terminated,"January  26, 2021",,Enbridge Inc.,
407165,/lra/reporting/public/registrar/view.do?method=get&registrationId=407165,"Varsanyi , Laszlo",In House Lobbyist,Organization,Terminated,"August  03, 2021",,Enbridge Inc.,
14775378,/lra/reporting/public/registrar/view.do?method=get&registrationId=14775378,"Aagaard, Lindsay",Consultant Lobbyist,Consultant Lobbyist,Terminated,"January  31, 2020",Canadian Safe Pipe Coalition,,Fasken Martineau DuMoulin LLP
256914,/lra/reporting/public/registrar/view.do?method=get&registrationId=256914,"Abdalla, Nadine",In House Lobbyist,Organization,Terminated,"January  06, 2019",,Lundbeck Canada Inc.,
10979097,/lra/reporting/public/registrar/view.do?method=get&registrationId=10979097,"Abdalla, Nadine",In House Lobbyist,Organization,Terminated,"July   03, 2018",,Lundbeck Canada Inc.,
372710,/lra/reporting/public/registrar/view.do?method=get&registrationId=372710,"Abebe, Kirubel",In House Lobbyist,Organization,Terminated,"November 26, 2020",,Primerica Financial Services (Canada) Ltd.,
288960,/lra/reporting/public/registrar/view.do?method=get&registrationId=288960,"Abebe, Kirubel M.",In House Lobbyist,Organization,Terminated,"May    10, 2019",,Primerica Financial Services (Canada) Inc.,
302967,/lra/reporting/public/registrar/view.do?method=get&registrationId=302967,"Abebe, Kirubel M.",In House Lobbyist,Organization,Terminated,"November 15, 2019",,Primerica Financial Services (Canada) Ltd.,
331507,/lra/reporting/public/registrar/view.do?method=get&registrationId=331507,"Abebe, Kirubel M.",In House Lobbyist,Organization,Terminated,"May    25, 2020",,Primerica Financial Services (Canada) Ltd.,
416375,/lra/reporting/public/registrar/view.do?method=get&registrationId=416375,"Abols, Jennifer",In House Lobbyist,Organization,Termination Pending,"August  19, 2021",,Alamos Gold Inc.,
10979090,/lra/reporting/public/registrar/view.do?method=get&registrationId=10979090,"Abony, Lorne",In House Lobbyist,Organization,Terminated,"September 06, 2018",,Nuuvera Inc.,
10979090,/lra/reporting/public/registrar/view.do?method=get&registrationId=10979090,"Abony, Lorne",Senior Officer,Organization,Terminated,"September 06, 2018",,Nuuvera Inc.,
10979057,/lra/reporting/public/registrar/view.do?method=get&registrationId=10979057,"Adams, David",In House Lobbyist,Organization,Terminated,"September 06, 2018",,Global Automakers of Canada,
10979057,/lra/reporting/public/registrar/view.do?method=get&registrationId=10979057,"Adams, David",Senior Officer,Organization,Terminated,"September 06, 2018",,Global Automakers of Canada,
250986,/lra/reporting/public/registrar/view.do?method=get&registrationId=250986,"Adams, John",Senior Officer,Organization,Terminated,"November 05, 2018",,Primerica Financial Services (Canada) Inc.,
288960,/lra/reporting/public/registrar/view.do?method=get&registrationId=288960,"Adams, John",Senior Officer,Organization,Terminated,"May    10, 2019",,Primerica Financial Services (Canada) Inc.,
439604,/lra/reporting/public/registrar/view.do?method=get&registrationId=439604,"Adams, John",Senior Officer,Organization,Active,"June   01, 2021",,Primerica Financial Services (Canada) Ltd.,
302967,/lra/reporting/public/registrar/view.do?method=get&registrationId=302967,"Adams, John",Senior Officer,Organization,Terminated,"November 15, 2019",,Primerica Financial Services (Canada) Ltd.,
331507,/lra/reporting/public/registrar/view.do?method=get&registrationId=331507,"Adams, John",Senior Officer,Organization,Terminated,"May    25, 2020",,Primerica Financial Services (Canada) Ltd.,
372710,/lra/reporting/public/registrar/view.do?method=get&registrationId=372710,"Adams, John",Senior Officer,Organization,Terminated,"November 26, 2020",,Primerica Financial Services (Canada) Ltd.,
402521,/lra/reporting/public/registrar/view.do?method=get&registrationId=402521,"Adams, John",Senior Officer,Organization,Terminated,"May    31, 2021",,Primerica Financial Services (Canada) Ltd.,
10979067,/lra/reporting/public/registrar/view.do?method=get&registrationId=10979067,"Adams, John",Senior Officer,Organization,Terminated,"May    02, 2018",,Primerica Financial Services (Canada) Ltd.,
250986,/lra/reporting/public/registrar/view.do?method=get&registrationId=250986,"Adams, John A",In House Lobbyist,Organization,Terminated,"November 05, 2018",,Primerica Financial Services (Canada) Inc.,
288960,/lra/reporting/public/registrar/view.do?method=get&registrationId=288960,"Adams, John A",In House Lobbyist,Organization,Terminated,"May    10, 2019",,Primerica Financial Services (Canada) Inc.,
439604,/lra/reporting/public/registrar/view.do?method=get&registrationId=439604,"Adams, John A",In House Lobbyist,Organization,Active,"June   01, 2021",,Primerica Financial Services (Canada) Ltd.,
302967,/lra/reporting/public/registrar/view.do?method=get&registrationId=302967,"Adams, John A",In House Lobbyist,Organization,Terminated,"November 15, 2019",,Primerica Financial Services (Canada) Ltd.,
331507,/lra/reporting/public/registrar/view.do?method=get&registrationId=331507,"Adams, John A",In House Lobbyist,Organization,Terminated,"May    25, 2020",,Primerica Financial Services (Canada) Ltd.,
372710,/lra/reporting/public/registrar/view.do?method=get&registrationId=372710,"Adams, John A",In House Lobbyist,Organization,Terminated,"November 26, 2020",,Primerica Financial Services (Canada) Ltd.,
402521,/lra/reporting/public/registrar/view.do?method=get&registrationId=402521,"Adams, John A",In House Lobbyist,Organization,Terminated,"May    31, 2021",,Primerica Financial Services (Canada) Ltd.,
10979067,/lra/reporting/public/registrar/view.do?method=get&registrationId=10979067,"Adams, John A",In House Lobbyist,Organization,Terminated,"May    02, 2018",,Primerica Financial Services (Canada) Ltd.,
452771,/lra/reporting/public/registrar/view.do?method=get&registrationId=452771,"Adams, Owen",In House Lobbyist,Organization,Active,"September 21, 2021",,Canadian Medical Association,
293597,/lra/reporting/public/registrar/view.do?method=get&registrationId=293597,"Adams, Owen",In House Lobbyist,Organization,Terminated,"July   12, 2019",,Canadian Medical Association,
323141,/lra/reporting/public/registrar/view.do?method=get&registrationId=323141,"Adams, Owen",In House Lobbyist,Organization,Terminated,"January  16, 2020",,Canadian Medical Association,
363691,/lra/reporting/public/registrar/view.do?method=get&registrationId=363691,"Adams, Owen",In House Lobbyist,Organization,Terminated,"September 14, 2020",,Canadian Medical Association,
397308,/lra/reporting/public/registrar/view.do?method=get&registrationId=397308,"Adams, Owen",In House Lobbyist,Organization,Terminated,"March   17, 2021",,Canadian Medical Association,
417463,/lra/reporting/public/registrar/view.do?method=get&registrationId=417463,"Adams, Owen",In House Lobbyist,Organization,Terminated,"September 20, 2021",,Canadian Medical Association,
10110538,/lra/reporting/public/registrar/view.do?method=get&registrationId=10110538,"Adams, Owen",In House Lobbyist,Organization,Terminated,"October  10, 2017",,Canadian Medical Association,
12859950,/lra/reporting/public/registrar/view.do?method=get&registrationId=12859950,"Adams, Owen",In House Lobbyist,Organization,Terminated,"January  10, 2019",,Canadian Medical Association,
124174,/lra/reporting/public/registrar/view.do?method=get&registrationId=124174,"Adams, William A.",In House Lobbyist,Organization,Terminated,"June   24, 2016",,Insurance Bureau of Canada,
162154,/lra/reporting/public/registrar/view.do?method=get&registrationId=162154,"Adams, William A.",In House Lobbyist,Organization,Terminated,"January  04, 2017",,Insurance Bureau of Canada,
206060,/lra/reporting/public/registrar/view.do?method=get&registrationId=206060,"Adams, William A.",In House Lobbyist,Organization,Terminated,"August  15, 2017",,Insurance Bureau of Canada,
219036,/lra/reporting/public/registrar/view.do?method=get&registrationId=219036,"Adams, William A.",In House Lobbyist,Organization,Terminated,"March   22, 2018",,Insurance Bureau of Canada,
246402,/lra/reporting/public/registrar/view.do?method=get&registrationId=246402,"Adams, William A.",In House Lobbyist,Organization,Terminated,"October  11, 2018",,Insurance Bureau of Canada,
3654830,/lra/reporting/public/registrar/view.do?method=get&registrationId=3654830,"Adams, William A.",In House Lobbyist,Organization,Terminated,"November 24, 2015",,Insurance Bureau of Canada,
20657,/lra/reporting/public/registrar/view.do?method=get&registrationId=20657,"Adams, William A.",In House Lobbyist,Organization,Terminated,"August  21, 2013",,Insurance Bureau of Canada,
2112662,/lra/reporting/public/registrar/view.do?method=get&registrationId=2112662,"Adams, William A.",In House Lobbyist,Organization,Terminated,"September 15, 2014",,Insurance Bureau of Canada,
20657,/lra/reporting/public/registrar/view.do?method=get&registrationId=20657,"Adams, William A.",Senior Officer,Organization,Terminated,"August  21, 2013",,Insurance Bureau of Canada,
2112662,/lra/reporting/public/registrar/view.do?method=get&registrationId=2112662,"Adams, William A.",Senior Officer,Organization,Terminated,"September 15, 2014",,Insurance Bureau of Canada,
286962,/lra/reporting/public/registrar/view.do?method=get&registrationId=286962,"Affonso, Amanda",In House Lobbyist,Organization,Terminated,"June   10, 2019",,Enbridge Inc.,
319529,/lra/reporting/public/registrar/view.do?method=get&registrationId=319529,"Affonso, Amanda",In House Lobbyist,Organization,Terminated,"December 19, 2019",,Enbridge Inc.,
12371201,/lra/reporting/public/registrar/view.do?method=get&registrationId=12371201,"Affonso, Amanda",In House Lobbyist,Organization,Terminated,"October  31, 2018",,Enbridge Inc.,
11481918,/lra/reporting/public/registrar/view.do?method=get&registrationId=11481918,"Agar, Glen W",Consultant Lobbyist,Consultant Lobbyist,Terminated,"April   07, 2020",Group Westco,,Thompson Dorfman Sweatman LLP
120367,/lra/reporting/public/registrar/view.do?method=get&registrationId=120367,"Ahearn, Brian",In House Lobbyist,Organization,Terminated,"March   24, 2016",,Canadian Fuels Association,
145504,/lra/reporting/public/registrar/view.do?method=get&registrationId=145504,"Ahearn, Brian",In House Lobbyist,Organization,Terminated,"November 15, 2016",,Canadian Fuels Association,
